sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
baseline,5-95,H_nonSOE,1154,822,0.0795928187347932,0.08395765628908919,0.00436483755429601,0.014005458535810852,0.6034063260340633,0.056705997043764576,0.08514046644166216,0.028434469397897587,7262759268092.738,10078934313112.031,-0.416888,0.27058554999999995
common_support,5-95,H_nonSOE,1154,358,0.07975010893854748,0.08179321841777257,0.0020431094792250806,0.014325626488897375,0.5810055865921788,0.062868536130605,0.08420601837497992,0.021337482244374914,770550835070.4983,1532281700986.7507,-0.416888,0.27058554999999995
psm,5-95,H_nonSOE,246,822,0.0795928187347932,0.07167730908350449,-0.007915509651288686,0.0001584707563833318,0.5012165450121655,0.056705997043764576,0.06138601341736334,0.004680016373598765,1195374241613.0093,6265400455003.355,0.029977999999999998,0.16439800000000002
cem,5-95,H_nonSOE,768,822,0.0795928187347932,0.0783650702227842,-0.0012277485120089995,0.00804861269794429,0.5486618004866181,0.056705997043764576,0.07964604419120044,0.022940047147435867,5859368701384.771,9012544265119.816,-0.2549566,0.2300574
entropy,5-95,H_nonSOE,1154,822,0.0795928187347932,0.08395765628908919,0.00436483755429601,0.014005458535810852,0.6034063260340633,0.056705997043764576,0.08514046644166216,0.028434469397897587,7262759268092.738,10078934313112.031,-0.416888,0.27058554999999995
overlap,5-95,H_nonSOE,1154,822,0.0795928187347932,0.08395765628908919,0.00436483755429601,0.014005458535810852,0.6034063260340633,0.056705997043764576,0.08514046644166216,0.028434469397897587,7262759268092.738,10078934313112.031,-0.416888,0.27058554999999995
baseline,5-95,CSI_nonSOE,686,822,0.0795928187347932,0.06912212812576038,-0.010470690609032808,-0.008647457988815032,0.42700729927007297,0.056705997043764576,0.04438376569289618,-0.0123222313508684,-3147356073179.245,3235388941879.2446,-0.04608025,0.29579
common_support,5-95,CSI_nonSOE,686,561,0.09261439037433154,0.08148290638298651,-0.011131483991345042,-0.0011870823729292213,0.4919786096256685,0.08103612086435742,0.056618606729927,-0.02441751413443042,-1639367952414.366,870181289262.6158,-0.04608025,0.29579
psm,5-95,CSI_nonSOE,438,822,0.0795928187347932,0.06197491567246829,-0.017617903062324906,0.0013151884787543297,0.5085158150851582,0.056705997043764576,0.04035423541574807,-0.016351761628016506,-4176582536205.196,2957969684086.9004,-0.009189749999999967,0.176866
cem,5-95,CSI_nonSOE,623,822,0.0795928187347932,0.06648548516741533,-0.013107333567377866,-0.012587233294469646,0.40389294403892945,0.056705997043764576,0.038848625496939744,-0.017857371546824832,-4561146856324.568,2885608492540.1846,-0.05299589999999999,0.30030899999999994
entropy,5-95,CSI_nonSOE,686,822,0.0795928187347932,0.06912212812576038,-0.010470690609032808,-0.008647457988815032,0.42700729927007297,0.056705997043764576,0.04438376569289618,-0.0123222313508684,-3147356073179.245,3235388941879.2446,-0.04608025,0.29579
overlap,5-95,CSI_nonSOE,686,822,0.0795928187347932,0.06912212812576038,-0.010470690609032808,-0.008647457988815032,0.42700729927007297,0.056705997043764576,0.04438376569289618,-0.0123222313508684,-3147356073179.245,3235388941879.2446,-0.04608025,0.29579
baseline,5-95,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.1049792924523251,0.025386473717531916,0.031983155063132554,0.6982968369829684,0.056705997043764576,0.1043358770632832,0.04762988001951863,12165669339885.111,14037016794175.621,-0.30368259999999997,0.28228749999999997
common_support,5-95,Pooled_H_plus_CSI_nonSOE,1840,589,0.08965092020373515,0.1071138595928106,0.01746293938907544,0.026992846049592012,0.6366723259762309,0.0755429007277289,0.0991442787055361,0.023601377977807203,1577214274708.261,2922856370750.965,-0.30368259999999997,0.28228749999999997
psm,5-95,Pooled_H_plus_CSI_nonSOE,480,822,0.0795928187347932,0.04845795994857408,-0.031134858786219105,-0.015222821190835505,0.40875912408759124,0.056705997043764576,0.0352801164164642,-0.02142588062730038,-5472618846001.053,4878980464514.376,-0.070889,0.176866
cem,5-95,Pooled_H_plus_CSI_nonSOE,1391,822,0.0795928187347932,0.09051799471278689,0.010925175977993693,0.017323459094604053,0.6301703163017032,0.056705997043764576,0.08456780781500878,0.0278618107712442,7116490256001.111,9590711751017.926,-0.17728549999999998,0.26853099999999996
entropy,5-95,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.1049792924523251,0.025386473717531916,0.031983155063132554,0.6982968369829684,0.056705997043764576,0.1043358770632832,0.04762988001951863,12165669339885.111,14037016794175.621,-0.30368259999999997,0.28228749999999997
overlap,5-95,Pooled_H_plus_CSI_nonSOE,1840,822,0.0795928187347932,0.1049792924523251,0.025386473717531916,0.031983155063132554,0.6982968369829684,0.056705997043764576,0.1043358770632832,0.04762988001951863,12165669339885.111,14037016794175.621,-0.30368259999999997,0.28228749999999997
