sample,winsor,benchmark,n_train_valid_target,n_soe_predicted,actual_mean,predicted_mean,mean_gap,median_gap,positive_gap_share,actual_asset_weighted,predicted_asset_weighted,asset_weighted_gap,net_implied_gap_amount,positive_only_gap_amount,target_lower,target_upper
baseline,5-95,H_nonSOE,1010,816,0.1144255024509804,0.08697666217188903,-0.027448840279091367,-0.024056457833196876,0.41544117647058826,0.09466526733606238,0.09709636749538407,0.0024311001593216863,620113810086.1001,10746518182846.67,-0.5449105000000001,0.4540820999999999
common_support,5-95,H_nonSOE,1010,360,0.11576663888888888,0.10463380658432264,-0.011132832304566263,-0.007814501360441962,0.4861111111111111,0.09985756552663771,0.11954369281932738,0.019686127292689662,756164491210.6294,2539768085792.9277,-0.5449105000000001,0.4540820999999999
psm,5-95,H_nonSOE,316,816,0.1144255024509804,0.11129993952493698,-0.0031255629260434022,0.00269028655824876,0.508578431372549,0.09466526733606238,0.13353351942218705,0.03886825208612467,9914334380710.555,15907114268310.219,0.045431,0.2239165
cem,5-95,H_nonSOE,737,816,0.1144255024509804,0.08668515331249065,-0.027740349138489738,-0.03220257641164477,0.39215686274509803,0.09466526733606238,0.11285405817474102,0.018188790838678637,4639512833144.342,13626045801795.371,-0.39864019999999994,0.3959295999999998
entropy,5-95,H_nonSOE,1010,816,0.1144255024509804,0.08697666217188903,-0.027448840279091367,-0.024056457833196876,0.41544117647058826,0.09466526733606238,0.09709636749538407,0.0024311001593216863,620113810086.1001,10746518182846.67,-0.5449105000000001,0.4540820999999999
overlap,5-95,H_nonSOE,1010,816,0.1144255024509804,0.08697666217188903,-0.027448840279091367,-0.024056457833196876,0.41544117647058826,0.09466526733606238,0.09709636749538407,0.0024311001593216863,620113810086.1001,10746518182846.67,-0.5449105000000001,0.4540820999999999
baseline,5-95,CSI_nonSOE,684,816,0.1144255024509804,0.1175788671415917,0.00315336469061131,0.007652189812530741,0.5465686274509803,0.09466526733606238,0.10593482946355265,0.011269562127490265,2874587902964.0293,9465420327252.828,-0.09529995000000001,0.4182671500000001
common_support,5-95,CSI_nonSOE,684,557,0.13320904129263916,0.12629425605642647,-0.006914785236212672,0.010350318041978418,0.5457809694793537,0.1314174937910538,0.10781479965757224,-0.023602694133481567,-1577053515860.7368,1975463097780.8699,-0.09529995000000001,0.4182671500000001
psm,5-95,CSI_nonSOE,447,816,0.1144255024509804,0.09839177542064412,-0.016033727030336287,0.0033984742643626996,0.5159313725490197,0.09466526733606238,0.07423597131845332,-0.020429296017609067,-5211010555151.757,6657497143655.358,-0.074569,0.305624
cem,5-95,CSI_nonSOE,623,816,0.1144255024509804,0.11056724478492232,-0.0038582576660580866,0.0003632061960941388,0.5012254901960784,0.09466526733606238,0.09216463576639303,-0.0025006315696693565,-637849561377.978,8034281818918.022,-0.1155749,0.419185
entropy,5-95,CSI_nonSOE,684,816,0.1144255024509804,0.1175788671415917,0.00315336469061131,0.007652189812530741,0.5465686274509803,0.09466526733606238,0.10593482946355265,0.011269562127490265,2874587902964.0293,9465420327252.828,-0.09529995000000001,0.4182671500000001
overlap,5-95,CSI_nonSOE,684,816,0.1144255024509804,0.1175788671415917,0.00315336469061131,0.007652189812530741,0.5465686274509803,0.09466526733606238,0.10593482946355265,0.011269562127490265,2874587902964.0293,9465420327252.828,-0.09529995000000001,0.4182671500000001
baseline,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
common_support,5-95,Pooled_H_plus_CSI_nonSOE,1694,566,0.13295319787985865,0.14775872348163346,0.01480552560177482,0.022349473029032514,0.5848056537102474,0.13355553036695506,0.14873642942274426,0.015180899055789204,954052217448.8364,3628324331098.0806,-0.38708789999999993,0.44184604999999993
psm,5-95,Pooled_H_plus_CSI_nonSOE,502,816,0.1144255024509804,0.12082141447734157,0.006395912026361166,0.016117175544300172,0.5808823529411765,0.09466526733606238,0.10385244926541941,0.009187181929357024,2343423971374.9014,10631030546816.37,0.0194257,0.295278
cem,5-95,Pooled_H_plus_CSI_nonSOE,1360,816,0.1144255024509804,0.12965058262693596,0.01522508017595556,0.01666528528116469,0.5784313725490197,0.09466526733606238,0.13959094531255806,0.04492567797649567,11459434624231.684,16211769419696.492,-0.30113775000000004,0.41160249999999987
entropy,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
overlap,5-95,Pooled_H_plus_CSI_nonSOE,1694,816,0.1144255024509804,0.14192150577852758,0.027496003327547206,0.0302160101295951,0.6262254901960784,0.09466526733606238,0.15394128754515907,0.05927602020909668,15119853699840.902,18910982788704.53,-0.38708789999999993,0.44184604999999993
